frame vehicles pedestrian wait
1067 6 0 42 
1068 6 0 44 
1069 6 0 49 
1070 6 0 18 
1071 7 0 23 
1072 7 0 27 
1073 7 0 32 
1074 8 0 37 
1075 8 0 30 
1076 7 0 35 
1077 7 0 36 
1078 7 0 41 
1079 8 1 46 
1080 8 1 33 
1081 8 1 39 
1082 8 1 43 
1083 8 1 48 
1084 9 1 22 
1085 9 1 29 
1086 10 1 36 
1087 9 1 43 
1088 9 1 49 
1089 9 1 55 
1090 9 1 59 
1091 11 1 63 
1092 11 0 61 
1093 11 0 65 
1094 12 0 56 
1095 12 0 63 
1096 12 0 67 
1097 12 0 74 
1098 12 1 81 
1099 11 1 84 
1100 11 1 90 
1101 11 2 74 
1102 10 2 77 
1103 10 2 81 
1104 10 2 80 
1105 10 2 87 
1106 10 2 87 
1107 10 2 91 
1108 10 2 95 
1109 10 2 102 
1110 10 3 109 
1111 10 2 115 
1112 9 2 117 
1113 9 2 125 
1114 9 3 132 
1115 9 3 140 
1116 8 3 137 
1117 8 3 144 
1118 8 3 144 
1119 8 3 151 
1120 8 4 154 
1121 8 3 161 
1122 8 4 169 
1123 8 4 154 
1124 7 4 156 
1125 7 4 161 
1126 7 4 169 
1127 8 4 176 
1128 8 3 176 
1129 8 2 184 
1130 8 2 189 
1131 8 2 198 
1132 8 2 206 
1133 8 2 210 
1134 8 2 218 
1135 8 2 186 
1136 8 2 194 
1137 8 2 200 
1138 8 2 207 
1139 8 2 214 
1140 8 2 222 
1141 8 2 230 
1142 8 2 223 
1143 8 2 230 
1144 8 2 237 
1145 8 1 242 
1146 10 1 249 
1147 10 1 257 
1148 10 1 267 
1149 10 0 273 
1150 10 0 281 
1151 10 0 290 
1152 10 0 299 
1153 11 0 308 
1154 11 0 235 
1155 11 0 243 
1156 11 0 228 
1157 11 0 237 
1158 11 0 246 
1159 11 0 252 
1160 11 0 261 
1161 11 0 257 
1162 11 0 266 
1163 11 0 271 
1164 11 0 279 
1165 12 0 287 
1166 11 0 296 
1167 11 0 305 
1168 11 0 314 
1169 11 0 323 
1170 11 0 332 
1171 11 0 327 
1172 11 0 336 
1173 11 0 345 
1174 10 0 345 
1175 10 0 340 
1176 10 0 347 
1177 10 0 354 
1178 10 0 361 
1179 9 0 368 
1180 9 0 287 
1181 9 0 295 
1182 9 0 303 
1183 9 0 308 
1184 9 0 306 
1185 9 0 314 
1186 9 0 321 
1187 9 0 328 
1188 9 0 335 
1189 9 0 342 
1190 9 0 343 
1191 9 0 334 
1192 9 0 341 
1193 9 0 348 
1194 9 0 355 
1195 9 0 357 
1196 9 0 364 
1197 10 0 355 
1198 9 0 362 
1199 9 0 367 
1200 9 0 376 
1201 9 0 385 
1202 9 0 394 
1203 9 0 403 
1204 9 0 405 
1205 9 0 414 
1206 9 0 423 
1207 9 0 339 
1208 9 0 345 
1209 9 0 339 
1210 9 0 347 
1211 9 0 353 
1212 9 0 361 
1213 9 0 369 
1214 9 0 377 
1215 9 0 385 
1216 9 0 306 
1217 9 0 314 
1218 9 0 322 
1219 9 0 330 
1220 9 0 338 
1221 8 0 341 
1222 8 0 349 
1223 8 0 357 
1224 8 0 365 
1225 8 0 373 
1226 8 0 381 
1227 8 0 388 
1228 9 0 379 
1229 9 0 388 
1230 9 0 397 
1231 9 0 405 
1232 9 0 412 
1233 10 0 419 
1234 10 0 427 
1235 10 0 426 
1236 10 0 435 
1237 11 0 444 
1238 11 0 453 
1239 11 0 462 
1240 11 0 446 
1241 11 0 454 
1242 11 0 462 
1243 10 0 465 
1244 10 0 473 
1245 10 0 481 
1246 10 0 488 
1247 10 0 495 
1248 10 0 502 
1249 10 0 509 
1250 10 0 511 
1251 10 0 520 
1252 10 0 528 
1253 10 0 538 
1254 10 0 548 
1255 10 0 531 
1256 10 0 540 
1257 10 0 494 
1258 10 0 503 
1259 10 0 501 
1260 10 0 510 
1261 10 0 519 
1262 10 0 525 
1263 10 0 534 
1264 10 0 540 
1265 10 0 548 
1266 10 0 555 
1267 10 0 560 
1268 10 0 567 
1269 10 0 565 
1270 9 0 566 
1271 9 0 570 
1272 9 0 578 
1273 9 0 586 
1274 9 0 593 
1275 9 0 597 
1276 9 0 598 
1277 8 0 600 
1278 8 0 605 
1279 8 0 612 
1280 8 0 619 
1281 8 0 525 
1282 8 0 533 
1283 9 0 541 
1284 9 0 549 
1285 10 0 557 
1286 10 0 565 
1287 10 0 574 
1288 10 0 582 
1289 10 0 589 
1290 10 0 593 
1291 10 0 601 
1292 10 0 609 
1293 10 0 612 
1294 10 0 620 
1295 10 0 624 
1296 10 0 632 
1297 10 0 639 
1298 10 0 646 
1299 10 0 653 
1300 9 0 638 
1301 9 0 645 
1302 9 0 631 
1303 9 0 638 
1304 9 0 645 
1305 9 0 647 
1306 9 0 654 
1307 8 0 660 
1308 8 0 667 
1309 7 0 673 
1310 7 0 680 
1311 7 0 686 
1312 7 0 624 
1313 8 0 631 
1314 8 0 639 
1315 8 0 646 
1316 8 0 653 
1317 8 0 660 
1318 8 0 667 
1319 8 0 675 
1320 8 0 683 
1321 8 0 691 
1322 8 0 699 
1323 8 0 707 
1324 8 0 714 
1325 8 0 721 
1326 8 0 728 
1327 8 0 735 
1328 8 0 742 
1329 8 0 749 
1330 8 0 756 
1331 8 0 763 
1332 8 0 770 
1333 8 0 777 
1334 8 0 758 
1335 8 0 765 
1336 8 0 770 
1337 7 0 767 
1338 7 0 774 
1339 7 0 781 
1340 8 0 788 
1341 9 0 794 
1342 9 0 801 
1343 9 0 808 
1344 9 0 815 
1345 9 0 822 
1346 9 0 830 
1347 9 0 838 
1348 9 0 844 
1349 9 0 850 
1350 9 0 857 
1351 9 0 864 
1352 9 0 871 
1353 8 0 878 
1354 8 0 885 
1355 9 0 892 
1356 9 0 900 
1357 9 0 908 
1358 9 0 916 
1359 9 0 924 
1360 9 0 884 
1361 9 0 891 
1362 8 0 891 
1363 8 0 898 
1364 8 0 905 
1365 8 0 912 
1366 9 0 919 
1367 9 0 926 
1368 9 0 933 
1369 9 0 940 
1370 9 0 947 
1371 9 0 954 
1372 9 0 960 
1373 8 0 962 
1374 8 0 792 
1375 8 0 799 
1376 8 0 806 
1377 8 0 813 
1378 8 0 820 
1379 8 0 827 
1380 8 0 834 
1381 7 0 839 
1382 7 0 845 
1383 7 0 851 
1384 7 0 858 
1385 7 0 865 
1386 8 0 872 
1387 8 0 880 
1388 8 0 888 
1389 8 0 895 
1390 8 0 902 
1391 8 0 910 
1392 8 0 918 
1393 8 0 925 
1394 8 0 932 
1395 8 0 939 
1396 8 0 945 
1397 8 0 951 
1398 8 0 958 
1399 8 0 965 
1400 8 0 972 
1401 8 0 979 
1402 8 0 986 
1403 8 0 994 
1404 8 0 1002 
1405 8 0 1009 
1406 8 0 1016 
1407 8 0 1023 
1408 8 0 1030 
1409 8 0 1037 
1410 8 0 1042 
1411 8 0 1049 
1412 8 0 1055 
1413 8 0 1062 
1414 8 0 1069 
1415 8 0 1076 
1416 8 0 1083 
1417 8 0 1090 
1418 7 0 1088 
1419 7 0 1095 
1420 7 0 1102 
1421 7 0 1109 
1422 7 0 1116 
1423 7 0 1123 
1424 7 0 1130 
1425 7 0 1137 
1426 7 0 1144 
1427 7 0 1151 
1428 7 0 1158 
1429 7 0 1165 
1430 7 0 1172 
1431 7 0 1179 
1432 7 0 1186 
1433 7 0 1193 
1434 7 0 1140 
1435 7 0 1147 
1436 7 0 1154 
1437 7 0 1161 
1438 7 0 1168 
1439 7 0 1175 
1440 7 0 1182 
1441 7 0 1189 
1442 7 0 1196 
1443 7 0 1203 
1444 7 0 1210 
1445 7 0 1217 
1446 7 0 1224 
1447 7 0 1231 
1448 7 0 1238 
1449 7 0 1245 
1450 7 0 1252 
1451 7 0 1259 
1452 7 0 1266 
1453 7 0 1273 
1454 7 0 1280 
1455 7 0 1287 
1456 7 0 1294 
1457 7 0 1301 
1458 7 0 1308 
1459 7 0 1315 
1460 8 0 1322 
1461 8 0 1329 
1462 8 0 1336 
1463 8 0 1343 
1464 8 0 1351 
1465 8 0 1357 
1466 8 0 1363 
1467 8 0 1369 
1468 8 0 1376 
1469 8 0 1383 
1470 8 0 1272 
1471 8 0 1278 
1472 8 0 1285 
1473 8 0 1291 
1474 8 0 1297 
1475 8 0 1305 
1476 8 0 1313 
1477 8 0 1320 
1478 8 0 1327 
1479 8 0 1334 
1480 8 0 1341 
1481 8 0 1348 
1482 8 0 1356 
1483 8 0 1364 
1484 8 0 1372 
1485 8 0 1379 
1486 8 0 1386 
1487 8 0 1393 
1488 8 0 1400 
1489 8 0 1407 
1490 8 0 1413 
1491 8 0 1419 
1492 8 0 1427 
1493 8 0 1435 
1494 8 0 1442 
1495 8 0 1449 
1496 8 0 1456 
1497 8 0 1463 
1498 8 0 1470 
1499 8 0 1203 
1500 8 0 1210 
